2016-10-21 14:59:43,265,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -76, 'disarmNet': -98, 'hotspot': -74, 'DCA': -73, 'dlink': -94, 'LEDE': -63, 'SD-TD': -84}
2016-10-21 14:59:44,840,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -75, 'disarmNet': -98, 'hotspot': -74, 'DCA': -73, 'dlink': -94, 'LEDE': -54, 'SD-TD': -78}
2016-10-21 14:59:46,421,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -98, 'hotspot': -75, 'DCA': -82, 'dlink': -91, 'LEDE': -53, 'SD-TD': -81}
2016-10-21 14:59:47,996,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -67, 'disarmNet': -98, 'hotspot': -73, 'DCA': -82, 'dlink': -91, 'LEDE': -55, 'SD-TD': -82}
2016-10-21 14:59:49,575,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -98, 'hotspot': -74, 'DCA': -82, 'dlink': -91, 'LEDE': -55, 'SD-TD': -83}
2016-10-21 14:59:51,152,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -81, 'disarmNet': -98, 'hotspot': -73, 'DCA': -82, 'dlink': -91, 'LEDE': -55, 'SD-TD': -77}
2016-10-21 14:59:52,731,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -98, 'hotspot': -75, 'DCA': -82, 'dlink': -91, 'LEDE': -55, 'SD-TD': -81}
2016-10-21 14:59:54,320,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -75, 'disarmNet': -98, 'hotspot': -73, 'DCA': -72, 'dlink': -91, 'LEDE': -83, 'SD-TD': -81}
2016-10-21 15:01:09,541,PCDisarmConnect,INFO,Searching DisarmDevice
2016-10-21 15:01:11,037,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -86, 'disarmNet': -98, 'hotspot': -80, 'DCA': -87, 'dlink': -91, 'LEDE': -57, 'SD-TD': -81}
2016-10-21 15:01:12,628,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -80, 'disarmNet': -98, 'hotspot': -80, 'DCA': -78, 'dlink': -89, 'LEDE': -64, 'SD-TD': -80}
2016-10-21 15:01:14,239,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -98, 'hotspot': -79, 'DCA': -89, 'dlink': -89, 'LEDE': -71, 'SD-TD': -82}
2016-10-21 15:01:15,833,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -85, 'disarmNet': -98, 'hotspot': -78, 'DCA': -89, 'dlink': -89, 'LEDE': -64, 'SD-TD': -82}
2016-10-21 15:01:17,433,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -82, 'disarmNet': -98, 'hotspot': -77, 'DCA': -76, 'dlink': -88, 'LEDE': -64, 'SD-TD': -81}
2016-10-21 15:01:19,048,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -87, 'disarmNet': -98, 'hotspot': -77, 'DCA': -83, 'dlink': -91, 'LEDE': -79, 'SD-TD': -80}
2016-10-21 15:01:20,669,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -77, 'disarmNet': -98, 'hotspot': -73, 'DCA': -83, 'dlink': -87, 'LEDE': -74, 'SD-TD': -80}
2016-10-21 15:01:22,276,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -78, 'disarmNet': -98, 'hotspot': -73, 'DCA': -83, 'dlink': -87, 'LEDE': -65, 'SD-TD': -85}
2016-10-21 15:01:23,880,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -79, 'disarmNet': -98, 'hotspot': -73, 'DCA': -78, 'dlink': -91, 'LEDE': -55, 'SD-TD': -86}
2016-10-21 15:01:25,505,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -79, 'disarmNet': -98, 'hotspot': -74, 'DCA': -83, 'dlink': -91, 'LEDE': -57, 'SD-TD': -86}
2016-10-21 15:01:27,120,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -79, 'disarmNet': -98, 'hotspot': -64, 'DCA': -81, 'dlink': -91, 'LEDE': -61, 'SD-TD': -79}
2016-10-21 15:01:28,737,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -87, 'disarmNet': -98, 'hotspot': -73, 'DCA': -82, 'dlink': -91, 'LEDE': -55, 'SD-TD': -69}
2016-10-21 15:01:32,019,PCDisarmConnect,INFO,Wifi Scan List Result:,{'1stFloorLinksys': -84, 'disarmNet': -98, 'hotspot': -76, 'DCA': -82, 'dlink': -93, 'LEDE': -58, 'SD-TD': -69}
